Unnamed: 0,Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,SimillarHTTP,Inbound,Label
606403,192.168.50.7-4.2.2.4-49986-53-17,192.168.50.7,49986,4.2.2.4,53,17,2018-12-01 13:31:16.196000,20959,2,2,94.0,206.0,47.0,47.0,47.0,0.0,103.0,103.0,103.0,0.0,14313.660002862733,190.84880003816977,6986.333333333334,12098.952241137797,20957.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,40,40,95.42440001908489,95.42440001908489,47.0,103.0,69.4,30.672463220289305,940.8,0,0,0,0,0,0,0,0,1.0,86.75,47.0,103.0,40,0,0,0,0,0,0,2,94,2,206,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
226525,172.16.0.5-192.168.50.1-50920-50920-6,172.16.0.5,50920,192.168.50.1,50920,6,2018-12-01 13:32:43.063858,99097553,14,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1614570644342751,6606503.533333334,9492124.73532956,26285727.0,0.0,99097553.0,7622888.692307693,9834828.028255405,26285727.0,0.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,280,40,0.1412749313799907,0.0201821330542844,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,280,0,0,0,0,0,0,14,0,2,0,5840,0,0,20,41.0,53.47273448528075,114.0,1.0,16516231.499999998,7475011.225885931,26285727.0,10326379.0,0,1,1
339416,172.217.10.100-192.168.50.7-443-52372-6,192.168.50.7,52372,172.217.10.100,443,6,2018-12-01 13:31:17.659633,63964740,32,27,5520.0,6344.0,980.0,0.0,172.5,315.4118659170741,2315.0,0.0,234.962962962963,518.7266570452542,185.4771863373477,0.9223831754807414,1102840.3448275863,7731824.383912832,58771487.0,0.0,63964740.0,2063378.70967742,10568750.719714344,58812890.0,0.0,58975827.0,2268301.0384615385,11532931.495368894,58813107.0,0.0,0,0,0,0,664,564,0.5002756205997242,0.4221075548810173,0.0,2315.0,197.7333333333333,415.3195978539682,172490.3683615819,0,0,0,0,1,0,0,0,0.0,201.08474576271183,172.5,234.96296296296296,664,0,0,0,0,0,0,32,5520,27,6344,64240,261,16,20,204286.0,0.0,204286.0,204286.0,58771487.0,0.0,58771487.0,58771487.0,0,0,0
604228,192.168.50.6-4.2.2.4-53360-53-17,192.168.50.6,53360,4.2.2.4,53,17,2018-12-01 13:32:15.188458,21053,2,2,72.0,146.0,36.0,36.0,36.0,0.0,73.0,73.0,73.0,0.0,10354.818790671165,189.9966750581865,7017.666666666666,12112.544750519328,21004.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,0.0,49.0,49.0,0,0,0,0,40,40,94.99833752909323,94.99833752909323,36.0,73.0,50.8,20.265734627691145,410.7,0,0,0,0,0,0,0,0,1.0,63.5,36.0,73.0,40,0,0,0,0,0,0,2,72,2,146,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
532115,172.16.0.5-192.168.50.1-29292-35140-6,172.16.0.5,29292,192.168.50.1,35140,6,2018-12-01 13:34:25.202593,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
241172,172.217.7.6-192.168.50.6-443-58121-6,192.168.50.6,58121,172.217.7.6,443,6,2018-12-01 13:32:15.353371,211532,24,24,4000.0,7746.0,1129.0,0.0,166.66666666666666,329.9716281172047,1430.0,0.0,322.74999999999994,518.9345481054344,55528.24158992493,226.9160221621315,4500.68085106383,11800.90589025742,41054.0,0.0,170663.0,7420.130434782609,16157.585146145471,56130.0,0.0,170476.0,7412.0,14967.387082951687,42793.0,0.0,0,0,0,0,504,504,113.45801108106576,113.45801108106576,0.0,1430.0,239.7142857142857,434.19019450006,188521.125,0,0,0,0,1,0,0,0,1.0,244.7083333333333,166.66666666666666,322.75,504,0,0,0,0,0,0,24,4000,24,7746,8192,255,12,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
333055,192.168.50.6-74.208.236.171-58115-80-6,192.168.50.6,58115,74.208.236.171,80,6,2018-12-01 13:32:29.082431,54672,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.87269534679544,27336.0,38658.941941030935,54672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,40,18.290898448931813,36.581796897863626,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,2,0,581,2093,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
221354,192.168.50.6-23.220.46.76-58104-80-6,192.168.50.6,58104,23.220.46.76,80,6,2018-12-01 13:30:37.905744,56021,8,6,298.0,3044.0,149.0,0.0,37.25000000000001,68.97359743305509,1522.0,0.0,507.33333333333326,785.9574203903584,59656.200353438886,249.90628514307133,4309.307692307693,10094.090815790983,27104.0,0.0,56021.0,8003.0,13614.832046950363,28608.0,1.0,28671.0,5734.200000000003,12057.228545565518,27276.0,0.0,0,0,0,0,184,144,142.80359151032647,107.10269363274486,0.0,1522.0,222.8,530.0116171233554,280912.3142857143,0,0,0,0,1,0,0,0,0.0,238.7142857142857,37.25,507.33333333333326,184,0,0,0,0,0,0,8,298,6,3044,65535,237,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,en-US.appex-rf.msn.com/cgtile/v1/en-US/Sports/Today.xml?cgversion=v6,0,0
496561,172.16.0.5-192.168.50.1-24741-41132-6,172.16.0.5,24741,192.168.50.1,41132,6,2018-12-01 13:34:14.158905,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
725676,172.16.0.5-192.168.50.1-58764-32444-6,172.16.0.5,58764,192.168.50.1,32444,6,2018-12-01 13:33:48.893273,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
65,192.168.50.7-216.58.217.129-52362-443-6,192.168.50.7,52362,216.58.217.129,443,6,2018-12-01 13:31:53.354917,45692,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.54267705506433,15230.666666666668,26378.55644900481,45690.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0,0,0,0,20,60,21.885669263766083,65.65700779129826,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,3.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,3,0,256,246,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
223143,172.16.0.5-192.168.50.1-35741-29624-6,172.16.0.5,35741,192.168.50.1,29624,6,2018-12-01 13:33:55.521921,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
593222,172.16.0.5-192.168.50.1-15869-38851-6,172.16.0.5,15869,192.168.50.1,38851,6,2018-12-01 13:32:05.205142,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
519119,172.16.0.5-192.168.50.1-679-66-6,172.16.0.5,679,192.168.50.1,66,6,2018-12-01 13:33:20.527488,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
613519,172.16.0.5-192.168.50.1-5250-46444-6,172.16.0.5,5250,192.168.50.1,46444,6,2018-12-01 13:33:50.787032,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
485941,172.16.0.5-192.168.50.1-8763-24533-6,172.16.0.5,8763,192.168.50.1,24533,6,2018-12-01 13:33:09.876128,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
203011,172.16.0.5-192.168.50.1-22634-56782-6,172.16.0.5,22634,192.168.50.1,56782,6,2018-12-01 13:32:17.152387,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
495229,172.217.12.162-192.168.50.8-443-59997-6,192.168.50.8,59997,172.217.12.162,443,6,2018-12-01 13:32:53.509787,60026452,58,79,9836.0,55922.0,1280.0,0.0,169.58620689655174,348.5208360195212,2860.0,0.0,707.8734177215188,887.0955830772085,1095.4837044175124,2.2823271313786795,441370.9705882353,5037100.409097261,58750221.0,0.0,60026452.0,1053095.649122807,7789699.894251628,58830559.0,0.0,59777191.0,766374.2435897437,6655429.44079703,58790848.0,0.0,0,0,0,0,1184,1604,0.9662406833573972,1.3160864480212824,0.0,2860.0,476.5072463768117,755.6328545636508,570981.0108960116,0,0,0,0,1,0,0,0,1.0,479.985401459854,169.58620689655172,707.873417721519,1184,0,0,0,0,0,0,58,9836,79,55922,8192,281,24,20,1026862.0,0.0,1026862.0,1026862.0,58750221.0,0.0,58750221.0,58750221.0,0,0,0
230508,172.16.0.5-192.168.50.1-12153-61608-6,172.16.0.5,12153,192.168.50.1,61608,6,2018-12-01 13:32:26.313347,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
719819,172.16.0.5-192.168.50.1-44021-9615-6,172.16.0.5,44021,192.168.50.1,9615,6,2018-12-01 13:33:36.160408,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
385983,172.16.0.5-192.168.50.1-41193-26597-6,172.16.0.5,41193,192.168.50.1,26597,6,2018-12-01 13:31:12.658474,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
545301,172.16.0.5-192.168.50.1-62591-16365-6,172.16.0.5,62591,192.168.50.1,16365,6,2018-12-01 13:33:29.535088,134,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29850.74626865672,44.66666666666667,76.50054466037045,133.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,40,14925.373134328356,14925.373134328356,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,2,0,5840,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
264709,192.168.50.7-8.8.8.8-61880-53-17,192.168.50.7,61880,8.8.8.8,53,17,2018-12-01 13:31:16.213664,47719,2,2,70.0,174.0,35.0,35.0,35.0,0.0,87.0,87.0,87.0,0.0,5113.267252037973,83.82405331209792,15906.333333333332,27547.113411995346,47715.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,40,40,41.91202665604896,41.91202665604896,35.0,87.0,55.8,28.48157299026864,811.2,0,0,0,0,0,0,0,0,1.0,69.75,35.0,87.0,40,0,0,0,0,0,0,2,70,2,174,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
706481,172.16.0.5-192.168.50.1-16549-41250-6,172.16.0.5,16549,192.168.50.1,41250,6,2018-12-01 13:34:12.895011,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1
3135,192.168.50.6-23.33.85.123-58105-80-6,192.168.50.6,58105,23.33.85.123,80,6,2018-12-01 13:30:37.907469,61160,8,6,362.0,3330.0,181.0,0.0,45.25000000000001,83.78671902941592,1665.0,0.0,555.0,859.8023028580466,60366.25245258339,228.9077828646174,4704.615384615386,11192.683596427783,30051.0,0.0,61160.0,8737.142857142857,14865.049449727949,30966.0,1.0,31197.0,6239.4,13539.60609840626,30453.0,0.0,0,0,0,0,184,144,130.80444735120994,98.10333551340746,0.0,1665.0,246.13333333333333,579.4854696399293,335803.4095238095,0,0,0,0,1,0,0,0,0.0,263.7142857142857,45.25,555.0,184,0,0,0,0,0,0,8,362,6,3330,65535,237,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,finance.services.appex.bing.com/Market.svc/AppTileV2?symbols=&contentType=-1&tileType=0&locale=en-US,0,0
